,Product Name,Price,Ratings,Reviews
55,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹18,999",4.5,"1,22,920 Ratings & 8,092 Reviews"
56,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,295",3.9,"1,57,035 Ratings & 9,914 Reviews"
57,"POCO M7 5G (Ocean Blue, 128 GB)","₹9,499",4.1,"20,506 Ratings & 1,168 Reviews"
58,"REDMI A5 (Pondicherry Blue, 128 GB)","₹7,499",4.2,"1,112 Ratings & 64 Reviews"
59,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
60,"realme P2 Pro 5G (Parrot Green, 256 GB)","₹17,749",4.4,"16,928 Ratings & 1,373 Reviews"
61,"Motorola G85 5G (Olive Green, 128 GB)","₹16,999",4.4,"2,02,277 Ratings & 10,531 Reviews"
62,"REDMI 13 5G (Hawaiian Blue, 128 GB)","₹12,058",4.3,"38,710 Ratings & 2,029 Reviews"
63,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",4.2,"1,875 Ratings & 127 Reviews"
64,"vivo T4x 5G (Marine Blue, 128 GB)","₹14,999",4.5,"52,328 Ratings & 3,100 Reviews"
65,"POCO M7 Pro 5G (Lavender Frost, 256 GB)","₹14,999",4.3,"5,901 Ratings & 626 Reviews"
66,"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹11,499",4.2,"10,373 Ratings & 678 Reviews"
67,Samsung Guru Music 2 B310ED,"₹1,350",3.2,"12,274 Ratings & 971 Reviews"
68,"REDMI 13 5G (Black Diamond, 128 GB)","₹13,999",4.3,"9,382 Ratings & 554 Reviews"
69,"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)","₹12,999",4.3,"2,246 Ratings & 230 Reviews"
70,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)","₹11,499",4.3,"8,414 Ratings & 901 Reviews"
71,"realme GT 6 (Fluid Silver, 256 GB)","₹27,999",4.5,"2,371 Ratings & 230 Reviews"
72,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹20,999",4.4,"1,50,662 Ratings & 10,513 Reviews"
73,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
74,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
75,Samsung B310ED,₹970,4.1,24 Ratings & 3 Reviews
76,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)","₹15,999",4.4,"11,541 Ratings & 1,202 Reviews"
77,"realme P2 Pro 5G (Parrot Green, 512 GB)","₹23,999",4.4,"16,928 Ratings & 1,373 Reviews"
78,"POCO M7 5G (Mint Green, 128 GB)","₹9,499",4.1,"20,506 Ratings & 1,168 Reviews"
79,"POCO M7 5G (Mint Green, 128 GB)","₹10,499",4.2,"3,801 Ratings & 243 Reviews"
80,"realme P3 Pro 5G (Saturn Brown, 128 GB)","₹19,999",4.4,"4,765 Ratings & 453 Reviews"
81,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,"₹1,349",4.1,"16,621 Ratings & 1,025 Reviews"
82,"Motorola g64 5G (Berry Red, 256 GB)","₹15,999",4.2,"82,879 Ratings & 5,344 Reviews"
83,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹18,999",4.5,"1,22,920 Ratings & 8,092 Reviews"
84,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹11,999",4.2,"2,877 Ratings & 212 Reviews"
85,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)","₹16,785",4.4,"22,440 Ratings & 1,102 Reviews"
86,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)","₹14,999",4.3,45 Ratings & 3 Reviews
87,"Motorola g45 5G (Brilliant Green, 128 GB)","₹10,999",4.3,"44,960 Ratings & 2,823 Reviews"
88,"Motorola g45 5G (Viva Magenta, 128 GB)","₹10,999",4.3,"44,960 Ratings & 2,823 Reviews"
89,MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording,"₹1,499",4.1,"7,373 Ratings & 477 Reviews"
90,"OPPO Reno 12 5G (Matte Brown, 256 GB)","₹20,999",4.4,"4,804 Ratings & 325 Reviews"
91,"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹12,999",4.3,"13,796 Ratings & 1,280 Reviews"
92,"vivo Y19e (Majestic Green, 64 GB)","₹7,999",4.3,"1,061 Ratings & 40 Reviews"
93,"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹12,999",4.3,"13,796 Ratings & 1,280 Reviews"
94,"REDMI 13 5G (Orchid Pink, 128 GB)","₹11,975",4.3,"38,710 Ratings & 2,029 Reviews"
95,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","₹12,999",4.5,"1,78,178 Ratings & 6,359 Reviews"
96,"vivo Y19e (Majestic Green, 64 GB)","₹7,999",4.3,"1,061 Ratings & 40 Reviews"
97,"POCO M7 Pro 5G (Lavender Frost, 128 GB)","₹12,999",4.3,"13,796 Ratings & 1,280 Reviews"
98,"REDMI 13 5G (Orchid Pink, 128 GB)","₹11,975",4.3,"38,710 Ratings & 2,029 Reviews"
99,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","₹12,999",4.5,"1,78,178 Ratings & 6,359 Reviews"
100,Nokia 105 Classic with Charger,"₹1,295",3.7,"5,435 Ratings & 350 Reviews"
101,HOTLINE ROYAL,₹499,3.6,645 Ratings & 31 Reviews
102,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",4.2,"2,877 Ratings & 212 Reviews"
103,Nokia 105 Classic with Charger,₹989,3.7,"5,435 Ratings & 350 Reviews"
104,"Motorola G85 5G (Olive Green, 256 GB)","₹18,999",4.4,"76,501 Ratings & 4,322 Reviews"
105,Kechaoda A26_black,₹939,4,"2,614 Ratings & 80 Reviews"
106,Kechaoda K115,₹999,4.1,"40,503 Ratings & 2,623 Reviews"
107,"REDMI A3X (Ocean Green, 64 GB)","₹6,499",4.1,"4,917 Ratings & 227 Reviews"
108,"IQOO Z9s 5G (Titanium Matte, 128 GB)","₹18,518",4.4,"7,190 Ratings & 466 Reviews"
109,"realme Narzo N61 (Marble Black, 64 GB)","₹7,327",4.3,"5,210 Ratings & 250 Reviews"
